Salem Hospital,175,220035,Salem,Mass.,Nonprofit and/or government,Mass General Brigham               ,More than 250,,Yes,Northeast,Yes,,,No,Yes,Yes,https://www.massgeneralbrigham.org/sites/default/files/2020-06/Financial-Assistance-Policy-English.pdf,"Some, but not all",https://www.massgeneralbrigham.org/sites/default/files/2020-06/Credit-Collection-Policy-English.pdf,150% FPL,Blue,150%-300% FPL,Blue,"Yes, assets less than $10,000 for first family member with additional $3,000 for each additional family member",If bill is 30% of income for 300%-600% of FPL; if 40% of income for over 600% of FPL,Blue,Yes,Yes*,Blue,Yes,No**,Purple,"Yes; allowed by policy, but not current practice, according to  Michael Morrison","Yes; allowed by policy, but not current practice, according to  Michael Morrison",Yes*,Blue,No,Blue,"*Allowed, but not current practice, according to spokesperson Michael Morrison
**According to Morrison",FAP advises patients with large bills to seek aid from Mass Health Safety Net,,http://nsmc.partners.org/,,59105
Morton Hospital,176,220073,Taunton,Mass.,For-profit,Steward Health Care               ,101-250,,,Northeast,Yes,,,No,No,No,,No,,Unclear*,Red,Unclear*,Red,Unclear; no available policy,Unclear*,Red,Unclear; no available policy,Unclear*,Red,Unclear; no available policy,Unclear*,Red,Unclear; no available policy,Unclear; no available policy,Unclear*,Red,Unclear*,Red,*No available policy and hospital did not provide data requested by KHN,,,http://www.mortonhospital.org/,,69170
Emerson Health,177,220084,Concord,Mass.,Nonprofit and/or government,,101-250,,,Northeast,Yes,,,No,Yes,Yes,Financial-Assistance-Policy.pdf (emersonhospital.org),Yes,https://www.emersonhospital.org/patients-visitors/insurance-financial/credit-collections-policy,200% FPL,Blue,200%-400% FPL,Blue,"Not mentioned in the Financial Assistance or Billing and Collections policies, or on the website","Yes, but no standards specified",Blue,"Yes, must reside in Massachusetts per the FAP",Yes,Blue,"Yes, per the Billing and Collections policy ",Yes,Blue,"Yes, per the Financial Assistance Policy","Yes, per the Financial Assistance Policy",Yes,Blue,Yes,Blue,,AHA Member - NO,,http://www.emersonhospital.org/,,75680
Pontiac General Hospital,178,230013,Pontiac,Mich.,Nonprofit and/or government,,101-250,,,Midwest,Yes,,,No,No,No,,No,,Unclear*,Red,Unclear*,Red,Unclear; no available policy,Unclear*,Red,Unclear; no available policy,Unclear*,Red,Unclear; no available policy,Unclear*,Red,Unclear; no available policy,Unclear; no available policy,Unclear*,Red,Unclear*,Red,*No available policy and hospital did not provide data requested by KHN,,,https://www.pontiacgeneral.com/?msclkid=c1420de4c65b11eca375450bd8a53fe1,,65440
Spectrum Health Lakeland Hospital,179,230021,St. Joseph,Mich.,Nonprofit and/or government,BHSH Health,More than 250,,,Midwest,Yes,,,No,Yes,Yes,https://www.spectrumhealthlakeland.org/patient-visitor-guide/patient/billing/financial-assistance/financial-assistance-eligibility-policy,No,,250% FPL,,N/A,Black,"Yes, per the Financial Assistance Application",Bills capped at 25% of income,Blue,Yes,No*,Purple,Yes per the Financial Assistance Policy,No*,Purple,"Yes; not mentioned in the policies, but it is a practice of the hospital to sue ""gainfully employed"" patients for unpaid bills, per Amy Assenmacher","No to lien placement, not mentioned in the policies but lien placement is not a practice of the hospital per Amy Assenmacher

Yes, to wage garnishment, not mentioned in the policies but it is a practice of the hospital to garnish wages per Amy Assenmacher",Yes*,Purple,No*,Purple,"*According to Amy Assenmacher, senior vice president of revenue cycle",,,http://www.lakelandhealth.org/,,70960
Marshfield Medical Center-Dickinson,180,230055,Iron Mountain,Mich.,Nonprofit and/or government,Marshfield Clinic Health System,26-50,,,Midwest,Yes,,,No,No,No,,No,,Unclear*,Red,Unclear*,Red,Unclear; no available policy,Unclear*,Red,Unclear; no available policy,Unclear*,Red,Unclear; no available policy,Unclear*,Red,Unclear; no available policy,Unclear; no available policy,Unclear*,Red,Unclear*,Red,*No available policy and hospital did not provide data requested by KHN,Affiliated with Marshfiled Clinic Health System; System FAP does not include Dickinson,,http://www.dchs.org/,,40960
Ascension Borgess Hospital,181,230117,Kalamazoo,Mich.,Nonprofit and/or government,Ascension,More than 250,,,Midwest,Yes,,,Yes,Yes,Yes,https://healthcare.ascension.org/locations/michigan/mikal/kalamazoo-ascension-borgess-hospital/financial-assistance,Yes,https://healthcare.ascension.org/-/media/healthcare/markets/michigan/financial-assistance/runningfile_ascborgess_billing-and-collection-policy_eng.pdf,250% FPL,Blue,251%-400% FPL,Blue,Yes,Bills exceeding patients' annual income,Blue,"yes, within geographic service area of hospital",Yes*,Blue,Yes,Yes*,Blue,"Yes (but Ascension ceased taking legal action againsgt patients in Oct. 2019, according to Nick Ragone)","Yes (but Ascension ceased taking legal action againsgt patients in Oct. 2019, according to Nick Ragone)",Yes*,Blue,Yes*,Blue,"*Allowed, but not a current practice, according to spokesman Nick Ragone",,,http://www.borgess.com/,,42160
Beaumont Hospital-Farmington Hills,182,230151,Farmington Hills,Mich.,Nonprofit and/or government,BHSH Health,More than 250,,,Midwest,Yes,,,No,Yes,Yes,financial-assistance-policy-english5edd350c149c6502a29dff00004a72eb.pdf (beaumont.org),Yes,billing-and-collection-policy-englishce2a010b149c6502a29dff00004a72eb.pdf (beaumont.org),200% FPL,,201%-300% FPL ,Blue,Yes per Financial Assistance application,"Yes, but no standards specified",Blue,"Yes; Residents of the United States, with specific exceptions per FAP",Yes,Blue,"Yes, per Billing and Collections policy",Yes,Blue,"Yes, per Billing and Collections policy","Yes, per Billing and Collections policy

Exception: no liens on the proceeds of a judgment, settlement or compromise owed to an individual (or his or her representative) as a result of personal injuries for which the Hospital provided care per Mark Geary",Yes,Blue,No,Blue,,,"Request per Mark Geary:

General BHSH System Statement:

 Beaumont Hospital, Farmington Hills and Beaumont Hospital, Taylor are both part of BHSH System. To best serve patients across the state, BHSH System

plans to implement a new integrated BHSH System Financial Assistance Policy in Fall 2022.","Beaumont Hospital, Farmington Hills | Beaumont Health



 ",,27440
Ascension St. John Hospital,183,230165,Detroit LAKES,Mich.,Nonprofit and/or government,Ascension,More than 250,,,Midwest,Yes,,,Yes,Yes,Yes,https://healthcare.ascension.org/locations/michigan/midet/detroit-ascension-st-john-hospital/financial-assistance,Yes,https://healthcare.ascension.org/-/media/healthcare/financial-assistance/michigan/midet/billing-collection-policy/runningfile_midet_english_health-billing-and-collection-policy.pdf,250% FPL,Blue,251%-400% FPL,Blue,Yes,Bills exceeding patients' annual income,Blue,"yes, within geographic service area of hospital",Yes*,Blue,Yes,Yes*,Blue,"Yes (but Ascension ceased taking legal action againsgt patients in Oct. 2019, according to Nick Ragone)","Yes (but Ascension ceased taking legal action againsgt patients in Oct. 2019, according to Nick Ragone)",Yes*,Blue,Yes*,Blue,"*Allowed, but not a current practice, according to spokesperson Nick Ragone",,,https://healthcare.ascension.org/Locations/Michigan/MIDET/Detroit-Ascension-St-John-Hospital,
North Ottawa Community Health System,184,230174,Grand Haven,Mich.,Nonprofit and/or government,Trinity Health,26-50,,,Midwest,Yes,,,"No, under ""About Us""",No,Yes,http://www.noch.org/main.aspx?id=4469,No,,150% FPL*,Purple,Purple,,"Yes, per the Financial Assistance Policy",No,Black,"Yes; patients must Reside within the cities of Grand Haven or Ferrysburg, the Townships of Grand Haven, Robinson or Crockery, or Spring Lake, or receive regular care at the North Ottowa Community Health System to be eligible for the Financial Assistance program per the FAP",Unclear**,Red,Unclear - no available policy,Unclear**,Red,Unclear - no available policy,Unclear - no available policy,Unclear**,Red,Unclear**,,"*According to hospital website
**No available policy and hospital did not provide data requested by KHN",,,http://www.noch.org/,,33340
Oaklawn Hospital,185,230217,Marshall,Mich.,Nonprofit and/or government,,51-100,,,Midwest,Yes,,,No,Yes,Yes,Financial Assistance Program (FAP) - Oaklawn Hospital,"Some, but not all",Collection Policy - Oaklawn Hospital,175% FPL,Blue,176%-250% FPL,Blue,"No, not mentioned in the policies and this is not a practice of the hospital per Kelli Thompson","Yes, but no standards specified",Blue,Yes; must live within service area or regularly receive care at Oaklawn,Yes,Blue,Yes per Billing and Collections policy,No*,Purple,Yes per Billing and Collections policy,"Yes to wage garnishment per Billing and Collections policy; Lien placement is not mentioned in the policies; Oaklawn hospital would not place liens, but they would allow third party collection agencies to do so, per Kelli Thompson, ",Yes,Blue,No*,Blue,"*According to Kelli Thompson, patient financial services director",,"Liens: ""These debts are transferred to the collection agency and have the potential to go legal"" - Kelli Thompson.",http://www.oaklawnhospital.org/,,51940
McLaren Macomb,186,230227,Mount Clemens,Mich.,Nonprofit and/or government,McLaren Health Care,More than 250,,,Midwest,Yes,,,No,Yes,Yes,financial-assistance-policy-english.pdf (mclaren.org),"Some, but not all",financial-assistance-policy-english.pdf (mclaren.org),400% FPL,Blue,N/A,Black,"Yes, per the Financial Assistance Policy",No,Black,"No, not mentioned in the Financial Assistance Policy and not a practice of the hospital according to David Jones",Yes,Blue,"Yes, per the Financial Assistance Policy",Yes*,Purple,"Yes, not mentioned in the Financial Assistance Policy and this is a practice of the hospital per David Jones","Yes, not mentioned in the Financial Assistance Policy and this is a practice of the hospital per David Jones",Yes*,Purple,Yes*,Purple,*According to spokesperson David Jones,,Jones said he will send B&C policy 5/20,https://www.mclaren.org/macomb/mclaren-macomb-home,,55820
Beaumont Hospital-Taylor,187,230270,Taylor,Mich.,Nonprofit and/or government,BHSH Health,101-250,,,Midwest,Yes,,,No,Yes,Yes,financial-assistance-policy-english5edd350c149c6502a29dff00004a72eb.pdf (beaumont.org),Yes,billing-and-collection-policy-englishce2a010b149c6502a29dff00004a72eb.pdf (beaumont.org),200% FPL,Blue,201%-300% FPL,Blue,Yes per FA application,"Yes, but no standards specified",Blue,"Yes; Residents of the United States, with specific exceptions per FAP",Yes,Blue,"Yes, per Billing and Collections policy",Yes,Blue,"Yes, per Billing and Collections policy","Yes, per Billing and Collections policy

Exception: no liens on the proceeds of a judgment, settlement or compromise owed to an individual (or his or her representative) as a result of personal injuries for which the Hospital provided care per Mark Geary",Yes,Blue,No,Blue,,,,"Beaumont Hospital, Farmington Hills | Beaumont Health

Request per Mark Geary:

""General BHSH System Statement:

 Beaumont Hospital, Farmington Hills and Beaumont Hospital, Taylor are both part of BHSH System. To best serve patients across the state, BHSH System

plans to implement a new integrated BHSH System Financial Assistance Policy in Fall 2022.""

 ",,79000
Mackinac Straits Hospital and Health Center,188,231306,St. Ignace,Mich.,Nonprofit and/or government,Mackinac Straits Health System,51-100,,,Midwest,Yes,,,Yes,No,Yes,https://www.mackinacstraitshealth.org/charity-care/,"Some, but not all",https://www.mackinacstraitshealth.org/charity-care/,100% FPL,Blue,101%-300% FPL,Blue,No,Bills exceeding 25% of income,Blue,None mentioned,Yes,Blue,"Yes, according to FAP",Unclear*,Red,"Yes, according to FAP",Unclear; not mentioned in policy,Yes,Blue,Unclear*,Red,*Not mentioned in policy and hospital did not provide data requested by KHN,No search function,,http://www.mackinacstraitshealth.org/,,70840
Scheurer Hospital,189,231310,Pigeon,Mich.,Nonprofit and/or government,,25 or fewer,,,Midwest,Yes,,,No,Yes,Yes,https://www.scheurer.org/patients-and-visitors/financial-assistance/,Yes,https://www.scheurer.org/patients-and-visitors/financial-assistance/,133% FPL,Blue,134%-300% FPL ,Blue,"Yes, according to the Financial Assistance Policy","Yes, but no standards specified",Blue,"No, according to the Financial Assistance Policy",Yes,Blue,"Yes, per the Financial Assistance Policy",Yes,Blue,"Yes, per the Financial Assistance Policy","Yes, per the Financial Assistance Policy",Yes,Blue,No,Blue,,,,"Scheurer Health | Home | Primary Care in Bad Axe, MI",,86920
Harbor Beach Community Hospital,190,231313,Harbor Beach,Mich.,Nonprofit and/or government,,26-50,,,Midwest,Yes,,,No,No,Yes,https://1ee34fa9-b3a2-4b2c-90bc-d92da69fe29c.filesusr.com/ugd/d9491d_a09361716b3048baadc473ccb7088364.pdf,yes,https://1ee34fa9-b3a2-4b2c-90bc-d92da69fe29c.filesusr.com/ugd/d9491d_a09361716b3048baadc473ccb7088364.pdf,Unclear*,Red,Unclear*,Red,Yes per the Financial Assistance application,No,Black,None mentioned,Yes,Blue,Yes per FAP,Yes,Blue,Yes per FAP,Yes per FAP,Yes,Blue,Yes,Blue,*Not specified in policy and hospital did not provide data requested by KHN,,,http://www.hbch.org/,,36460
Up Health System-Bell,191,231321,Ishpeming,Mich.,For-profit,Lifepoint Health,25 or fewer,,,Midwest,Yes,,,No,No,No,,No,,200% FPL,Purple,N/A,Black,"No, no public policy, but not a practice of the hospital, according to Michelle Augusty",No,Black,"No, no public policy, but not a practice of the hospital, according to Michelle Augusty",No*,Purple,"Yes, no public policy, but is a practice of the hospital, according to Michelle Augusty",Yes*,Purple,"No, no public policy, but not a practice of the hospital, according to Michelle Augusty","No, no public policy, but not a practice of the hospital, according to Michelle Augusty",No*,Purple,No*,Purple,*According to spokesperson Michelle Augusty,,,http://www.bellhospital.org/,,41220
Eaton Rapids Medical Center,192,231324,Eaton Rapids,Mich.,Nonprofit and/or government,,25 or fewer,,,Midwest,Yes,,,Yes,Yes,Yes,https://www.eatonrapidsmedicalcenter.org/wp-content/uploads/2021/01/Financial-Assistance-Policy.pdf,No,,133% FPL,Blue,133%-200% FPL,Blue,No,No,Black,No,Yes*,Purple,"No publicly available policy, but is a practice of the hospital, according to Tim Johnson",No*,Purple,"No publicly available policy, but is a practice of the hospital, according to Tim Johnson","No publicly available policy, but is a practice of the hospital, according to Tim Johnson",Yes*,Purple,No*,Purple,*According to CEO Timothy Johnson,Very clear link to financial assistance at top of the homepage,Johnson says that lawsuits and wage garnishments/liens are very rare,,,24540
